word	defn	main_meaning	other meaning
词典	 詞典	 từ điển	 từ điển
邪恶	 邪惡	 tà ác	 tà ác/gian ác
确认	 確認	 xác nhận	 xác nhận/ghi nhận/thừa nhận
指挥	 指揮	 chỉ huy	 chỉ huy/sai khiến/điều khiển/người chỉ huy/nhạc trưởng
相反	 相反	 tương phản	 tương phản/trái ngược nhau/trái lại/ngược lại
主管	 主管	 chủ quản	 chủ quản/nhân viên chủ quản
解放	 解放	 giải phóng	 giải phóng/tự do/phóng thích/thả tự do/tháo ra/thả ra/cởi ra
武汉	 武漢	 vũ hán	 Vũ Hán
俱乐部	 俱樂部	 câu lạc bộ	 câu lạc bộ
精力	 精力	 tinh lực	 tinh lực/tinh thần và thể lực/sinh lực/nghị lực
形容	 形容	 hình dung	 hình dung/hình dáng/hình dạng/miêu tả
不安	 不安	 bất an	 bất an/bất ổn/không yên/không thanh thản/lo lắng/không an lòng/không yên tâm/bứt rứt/băn khoăn
改造	 改造	 cải tạo	 cải tạo/sửa đổi/sửa lại
大夫	 大夫	 đại phu	 thầy thuốc/đại phu/bác sĩ
运行	 運行	 vận hành	 vận hành/vận chuyển/chuyển động
和尚	 和尚	 hòa thượng	 hòa thượng/hoà thượng/sư tăng/thầy chùa/sư/sư ông/sư cụ
大众	 大眾	 đại chúng	 đại chúng/quần chúng/dân chúng
愤怒	 憤怒	 phẫn nộ	 phẫn nộ/căm phẫn
小组	 小組	 tiểu tổ	 tiểu tổ/tổ/nhóm nhỏ
完善	 完善	 hoàn thiện	 hoàn thiện/trọn vẹn/đầy đủ
尸体	 屍體	 thi thể	 thi thể/xác/thây ma/xác chết
都市	 都市	 đô thị	 đô thị/thành phố lớn
等级	 等級	 đẳng cấp	 cấp bậc/đẳng cấp/cấp/bậc/thứ bậc/tôn ti trật tự/đẳng cấp xã hội
机制	 機制	 cơ chế	 làm bằng máy/chế tạo bằng máy/cơ chế vận hành/cơ chế/quy luật
主义	 主義	 chủ nghĩa	 chủ nghĩa
大楼	 大樓	 đại lâu	 đại lâu/đại lầu/cao ốc
决心	 決心	 quyết tâm	 quyết tâm
公安	 公安	 công an	 công an/cảnh sát
神情	 神情	 thần tình	 vẻ mặt/thần tình/thần sắc/vẻ/nét mặt
军队	 軍隊	 quân đội	 quân đội/nhà binh
空中	 空中	 không trung	 không trung/bầu trời/trên không/thông tin
趋势	 趨勢	 xu thế	 xu thế/chiều hướng/xu hướng
连接	 連接	 liên tiếp	 liên tiếp/nối liền/tiếp nối
欲望	 欲望	 dục vọng	 dục vọng/ham muốn
危机	 危機	 nguy cơ	 nguy cơ/mối nguy/khủng hoảng
骄傲	 驕傲	 kiêu ngạo	 kiêu ngạo/hãnh/kiêu căng/tự cao tự đại/ngạo mạn/tự hào/kiêu hãnh/niềm tự hào/niềm kiêu hãnh
人权	 人權	 nhân quyền	 nhân quyền/quyền lợi căn bản của con người
好奇	 好奇	 hiếu kỳ	 tò mò/hiếu kỳ/ham thích điều lạ
保存	 保存	 bảo tồn	 bảo tồn/giữ gìn/bảo vệ
主编	 主編	 chủ biên	 chủ biên/tổng biên tập
党员	 黨員	 đảng viên	 đảng viên
科学家	 科學家	 khoa học gia	 khoa học gia/nhà khoa học/người nghiên cứu khoa học
当代	 當代	 đương đại	 đương đại/đương thời/ngày nay/thời nay
伸手	 伸手	 thân thủ	 thân thủ/đưa tay/chìa tay/nhúng tay/thò tay
商务	 商務	 thương vụ	 thương vụ/công việc buôn bán
组合	 組合	 tổ hợp	 tổ hợp
云南	 雲南	 vân nam	 Vân Nam/tỉnh Vân Nam
房屋	 房屋	 phòng ốc	 phòng ốc/nhà/cái nhà/toà nhà
部长	 部長	 bộ trưởng	 bộ trưởng/tù trưởng/thủ lĩnh bộ lạc
中年	 中年	 trung niên	 trung niên
信仰	 信仰	 tín ngưỡng	 tín ngưỡng/tin tưởng và ngưỡng mộ
效率	 效率	 hiệu suất	 hiệu suất/năng suất
内地	 內地	 nội địa	 nội địa/đất liền
艰难	 艱難	 gian nan	 gian nan/khó khăn/gian khổ/khốn khổ
外交	 外交	 ngoại giao	 ngoại giao/nước mình đối với nước ngoài
天使	 天使	 thiên sứ	 thiên sứ/thiên thần/sứ giả
亲人	 親人	 thân nhân	 thân nhân/người thân/phối ngẫu/thân thương/thân thiết/mến thương
亲切	 親切	 thân thiết	 thân thiết/thân cận/thân mật/thân thương/nhiệt tình/ân cần
仪式	 儀式	 nghi thức	 nghi thức/nghi lễ/lễ
财政	 財政	 tài chính	 tài chính
金钱	 金錢	 kim tiền	 tiền tài/tiền bạc/kim tiền/tiền tệ
祝福	 祝福	 chúc phúc	 chúc phúc/chúc/chúc mừng/chúc tết
热烈	 熱烈	 nhiệt liệt	 nhiệt liệt/sôi động/sôi nổi
犹豫	 猶豫	 do dự	 do dự/lưỡng lự/phân vân/chần chừ
平安	 平安	 bình an	 bình an/bình yên/yên ổn
选举	 選舉	 tuyển cử	 tuyển cử
偶然	 偶然	 ngẫu nhiên	 ngẫu nhiên/tình cờ/bất ngờ
湖南	 湖南	 hồ nam	 Hồ Nam
暴力	 暴力	 bạo lực	 bạo lực/vũ lực/sức mạnh/quyền lực/cưỡng chế/bạo quyền/sức mạnh của nhà nước dùng để cưỡng chế/bạo lực cách mạng/cưỡng bức
障碍	 障礙	 chướng ngại	 chướng ngại/cản trở/ngăn chặn/trở ngại/vật cản/chướng ngại vật
友谊	 友誼	 hữu nghị	 hữu nghị/tình hữu nghị
入学	 入學	 nhập học	 nhập học/mới học/vào trường tiểu học
奇迹	 奇蹟	 kỳ tích	 kỳ tích/kỳ công
收获	 收穫	 thu hoạch	 thu hoạch/gặt hái
情节	 情節	 tình tiết	 tình tiết/trường hợp/tình huống
极其	 極其	 cực kì/cực kỳ	 cực kỳ/vô cùng/hết sức
真相	 真相	 chân tướng	 chân tướng/bộ mặt thật
敏感	 敏感	 mẫn cảm	 mẫn cảm/nhạy cảm/thính
主张	 主張	 chủ trương	 chủ trương/cho là/cho rằng
地理	 地理	 địa lí/địa lý	 địa lý/địa lý học/phong thuỷ
商场	 商場	 thương trường	 thương trường/thị trường/cửa hàng tổng hợp/cửa hàng
随意	 隨意	 tùy ý	 tùy ý/tuỳ ý
高手	 高手	 cao thủ	 cao thủ
国王	 國王	 quốc vương	 quốc vương
请求	 請求	 thỉnh cầu	 thỉnh cầu/đề nghị/yêu cầu/đề xuất
主意	 主意	 chủ ý	 chủ ý/chủ kiến/chủ định/biện pháp/phương pháp
别墅	 別墅	 biệt thự	 biệt thự/vi-la
同情	 同情	 đồng tình	 đồng tình/đồng cảm/thông cảm
联想	 聯想	 liên tưởng	 liên tưởng/nghĩ đến
财产	 財產	 tài sản	 tài sản/của cải
策略	 策略	 sách lược	 sách lược/có phương pháp/có sách lược
动手	 動手	 động thủ	 động thủ/bắt đầu làm/bắt tay vào làm/sờ vào/chạm vào/đánh nhau
聚会	 聚會	 tụ hội	 tụ hội/tụ họp/gặp/gặp gỡ
股票	 股票	 cổ phiếu	 cổ phiếu
定位	 定位	 định vị	 định vị/xác định vị trí/định vị trí
王子	 王子	 vương tử	 vương tử/hoàng tử/con vua
设立	 設立	 thiết lập	 thiết lập/thành lập/mở ra
秘书	 祕書	 bí thư	 bí thư/thư ký/công việc thư kí
装饰	 裝飾	 trang sức	 trang sức/trang trí/đồ trang sức/đồ trang trí
登记	 登記	 đăng kí/đăng ký	 đăng ký/vào sổ/ghi tên/khai
顺便	 順便	 thuận tiện	 thuận tiện/tiện thể/nhân tiện
远处	 遠處	 viễn xứ	 xa xa/viễn xứ/nơi xa/phương xa
加工	 加工	 gia công	 gia công/chế biến/công việc hoàn chỉnh sản phẩm
大事	 大事	 đại sự	 đại sự/việc lớn/việc hệ trọng/cố sức/ra sức/cật lực
文艺	 文藝	 văn nghệ	 văn nghệ
抗议	 抗議	 kháng nghị	 kháng nghị
感激	 感激	 cảm kích	 cảm kích/biết ơn/cảm ơn
孩儿	 孩兒	 hài nhi	 con/hài nhi
营养	 營養	 dinh dưỡng	 dinh dưỡng/chất bổ/chất dinh dưỡng
接待	 接待	 tiếp đãi	 tiếp đãi/chiêu đãi/tiếp đón/khoản đãi/tiếp khách
烦恼	 煩惱	 phiền não	 phiền não/phiền muộn/buồn phiền/buồn rầu/muộn phiền
粮食	 糧食	 lương thực	 lương thực
后果	 後果	 hậu quả	 hậu quả/kết quả
紧急	 緊急	 khẩn cấp	 khẩn cấp/cấp bách/hiểm nghèo
统治	 統治	 thống trị	 thống trị/chi phối/khống chế
象征	 象徵	 tượng trưng	 tượng trưng/biểu tượng
技能	 技能	 kĩ năng/kỹ năng	 kỹ năng/năng lực
平等	 平等	 bình đẳng	 ngang hàng/bình đẳng/công bằng/bình quyền/bằng đẳng
坚定	 堅定	 kiên định	 kiên định/không dao động/kiên quyết/làm cho kiên định/giữ vững/củng cố
旅客	 旅客	 lữ khách	 lữ khách/hành khách
家族	 家族	 gia tộc	 gia tộc/dòng họ
亲戚	 親戚	 thân thích	 thân thích/thông gia
河南	 河南	 hà nam	 Hà Nam/NAM/tỉnh Hà Nam
供应	 供應	 cung ứng	 cung ứng/cung cấp
积累	 積累	 tích lũy	 tích lũy/tích luỹ/gom góp lại/chất chứa cho nhiều lên/vốn tích luỹ
纪元	 紀元	 kỉ nguyên/kỷ nguyên	 kỷ nguyên
遵守	 遵守	 tuân thủ	 tuân thủ/giữ gìn/tôn trọng/giữ đúng
宇宙	 宇宙	 vũ trụ	 vũ trụ/vạn vật/thế giới/suốt gầm trời
真诚	 真誠	 chân thành	 chân thành/chân thật/thành thật
以往	 以往	 dĩ vãng	 dĩ vãng/ngày xưa/ngày trước/trước kia/đã qua
机械	 機械	 cơ giới	 máy móc/cơ giới/cứng nhắc/không linh hoạt
群体	 群體	 quần thể	 quần thể/bầy/đàn
生物	 生物	 sinh vật	 sinh vật
秩序	 秩序	 trật tự	 trật tự
动力	 動力	 động lực	 động lực
植物	 植物	 thực vật	 thực vật/cây cối/cây
饮食	 飲食	 ẩm thực	 ẩm thực/ăn uống/đồ ăn thức uống
法院	 法院	 pháp viện	 pháp viện/toà án
团体	 團體	 đoàn thể	 đoàn thể
市长	 市長	 thị trưởng	 thị trưởng
爆发	 爆發	 bạo phát	 bùng nổ/bạo phát/phun/nổ/phát tác/đột phá/đột phát/bùng lên/bật lên/oà lên/phá lên
大厅	 大廳	 đại sảnh	 đại sảnh/phòng khách
不论	 不論	 bất luận	 bất luận/dù/cho dù/bất kỳ/bất cứ/miễn bàn/không tranh cãi/không bàn
文物	 文物	 văn vật	 văn vật/di vật văn hoá/hiện vật văn hoá khảo cổ
大地	 大地	 đại địa	 đại địa/mặt đất/khắp nơi/đất nước/đất đai/thế giới/trái đất/địa cầu
东京	 東京	 đông kinh	 Tô-ki-ô/Đông Kinh/Tokyo
对外	 對外	 đối ngoại	 đối ngoại
除非	 除非	 trừ phi	 trừ phi/trừ khi/nếu không/chỉ có/chỉ với điều kiện là/ngoài ra/trừ ra/trừ/loại ra/không kể
性质	 性質	 tính chất	 tính chất
江苏	 江蘇	 giang tô	 Giang Tô/tỉnh Giang Tô
名人	 名人	 danh nhân	 danh nhân/người có tiếng tăm
人体	 人體	 nhân thể	 nhân thể/cơ thể người/thân thể
公众	 公眾	 công chúng	 công chúng/đại chúng/chung/công cộng
跳舞	 跳舞	 khiêu vũ	 khiêu vũ/múa/vũ đạo/nhảy múa tập thể
绝望	 絕望	 tuyệt vọng	 tuyệt vọng/hết hi vọng
时报	 時報	 thời báo	 thời báo
注重	 注重	 chú trọng	 chú trọng/coi trọng
混乱	 混亂	 hỗn loạn	 hỗn loạn/lẫn lộn/pha trộn/lộn xộn/lung tung/rối loạn
增强	 增強	 tăng cường	 tăng cường
言论	 言論	 ngôn luận	 ngôn luận/lời bàn
客观	 客觀	 khách quan	 khách quan
污染	 汙染	 ô nhiễm	 ô nhiễm/nhiễm bẩn/làm bẩn/sự ô nhiễm
政权	 政權	 chính quyền	 chính quyền/cơ quan chính quyền/bộ máy hành chính/cơ quan hành chính
商人	 商人	 thương nhân	 thương nhân/thương gia/nhà kinh doanh/người buôn
谈判	 談判	 đàm phán	 đàm phán/thương lượng
灿烂	 燦爛	 xán lạn	 sáng lạn/xán lạn/rực rỡ/sáng rực
友好	 友好	 hữu hảo	 hữu hảo/bạn thân/bạn tốt/bạn bè/hữu nghị
勇敢	 勇敢	 dũng cảm	 dũng cảm/gan dạ
转变	 轉變	 chuyển biến	 chuyển biến/biến chuyển/thay đổi
义务	 義務	 nghĩa vụ	 nghĩa vụ/làm không/làm ủng hộ/nhiệm vụ
江湖	 江湖	 giang hồ	 giang hồ/khắp bốn phương/khắp nơi/khắp chốn/kẻ giang hồ/nghề giang hồ
发动	 發動	 phát động	 phát động/bắt đầu/làm cho chuyển động/khởi động
勉强	 勉強	 miễn cưỡng	 miễn cưỡng/gắng gượng/gượng gạo/cố ép/không đầy đủ/tạm thời/cố lắm/chỉ tạm
本地	 本地	 bản địa	 bản địa/vùng này/trong vùng/đặc sản/bản xứ
残酷	 殘酷	 tàn khốc	 tàn khốc/hung ác khắc nghiệt
指定	 指定	 chỉ định	 chỉ định/đã định/quy định/xác định
待遇	 待遇	 đãi ngộ	 đãi ngộ/đối đãi/đối xử
军人	 軍人	 quân nhân	 quân nhân/người lính
包含	 包含	 bao hàm	 bao hàm/chứa/có/hàm chứa/gồm/thấm đẫm
同行	 同行	 đồng hành	 đồng hành/cùng ngành/cùng nghề/người cùng nghề/người cùng ngành/song hành/cùng đi
落后	 落後	 lạc hậu	 lạc hậu/rớt lại phía sau/chậm hơn kế hoạch
老子	 老子	 lão tử	 lão tử/bố/ba/cha/tía/bố mày
业主	 業主	 nghiệp chủ	 nghiệp chủ
冲动	 沖動	 xung động	 xúc động/xung động/kích thích/thúc đẩy/phát động/thôi thúc/bị kích thích/bị kích động/khởi động/xung lực/sôi nổi/quá xúc động
发达	 發達	 phát đạt	 phát đạt/thịnh vượng/phát triển
权威	 權威	 quyền uy	 quyền uy/uy tín/người có quyền uy nhất/người có vai vế nhất/người có địa vị nhất
人心	 人心	 nhân tâm	 lòng người/nhân tâm/thấu tình đạt lý
对付	 對付	 đối phó	 đối phó/ứng phó/tạm/tạm bợ/hợp nhau/hợp
少数	 少數	 thiểu số	 số ít/thiểu số
高速	 高速	 cao tốc	 tốc độ cao/cao tốc/nhanh chóng/cực nhanh
坚强	 堅強	 kiên cường	 kiên cường/kiên quyết/làm cho mạnh mẽ/củng cố
境界	 境界	 cảnh giới	 cảnh giới/ranh giới/địa giới/cương giới/phạm vi/vùng/mức độ/trình độ
教训	 教訓	 giáo huấn	 giáo huấn/dạy bảo/dạy dỗ/bài học kinh nghiệm
合法	 合法	 hợp pháp	 hợp pháp/phải phép
警告	 警告	 cảnh cáo	 cảnh cáo/nhắc nhở/nhắc/phạt cảnh cáo
医学	 醫學	 y học	 y học/y khoa
发觉	 發覺	 phát giác	 phát giác/phát hiện/biết
立场	 立場	 lập trường	 lập trường/lập trường giai cấp
人文	 人文	 nhân văn	 nhân văn
焦点	 焦點	 tiêu điểm	 tiêu điểm/điểm tập trung/trọng điểm/tiêu điểm chính/nơi tập trung/trọng tâm/trung tâm
指示	 指示	 chỉ thị	 chỉ thị
团结	 團結	 đoàn kết	 đoàn kết/hoà thuận/hữu nghị/hoà nhã
出身	 出身	 xuất thân	 xuất thân
出色	 出色	 xuất sắc	 xuất sắc/đẹp đẽ/tế nhị/tinh vi/ngon
品质	 品質	 phẩm chất	 phẩm chất/tính cách/chất lượng
乐趣	 樂趣	 lạc thú	 lạc thú/niềm vui/hứng thú/thích thú
江南	 江南	 giang nam	 Giang Nam/phía nam sông Trường Giang
舞蹈	 舞蹈	 vũ đạo	 vũ đạo/vũ/điệu múa/múa/nhảy múa
前提	 前提	 tiền đề	 điều kiện tiên quyết/tiền đề/điều kiện trước tiên
越南	 越南	 việt nam	 Việt Nam/Việt/Vietnam
相似	 相似	 tương tự	 tương tự/giống nhau/giống hệt
批判	 批判	 phê phán	 phê phán/phê bình
发音	 發音	 phát âm	 phát âm/âm phát ra
现状	 現狀	 hiện trạng	 hiện trạng/hiện tình/tình trạng hiện nay
天才	 天才	 thiên tài	 thiên tài/tài năng xuất chúng/người có tài
游行	 遊行	 du hành	 du hành/đi chơi xa/tuần hành/diễu hành/biểu tình
势力	 勢力	 thế lực	 thế lực
怀念	 懷念	 hoài niệm	 hoài niệm/nhớ nhung/tưởng nhớ/nhớ
描写	 描寫	 miêu tả	 miêu tả/mô tả
场合	 場合	 trường hợp	 trường hợp/nơi
发明	 發明	 phát minh	 phát minh/sáng chế/sự phát minh/phát kiến/sáng tạo/trình bày sáng tạo
复制	 復制	 phục chế	 phục chế/làm lại
新生	 新生	 tân sinh	 tân sinh/mới ra đời/mới xuất hiện/sinh mạng mới/hồi sinh/phục hồi/sống lại/học sinh mới
赔偿	 賠償	 bồi thường	 bồi thường/đền bù
个别	 個別	 cá biệt	 cá biệt/hiếm có/riêng/riêng lẻ/riêng biệt
瑞士	 瑞士	 thụy sĩ	 Thụy Sĩ/Thuỵ Sĩ/Switzerland
佩服	 佩服	 bội phục	 bội phục/khâm phục/bái phục/phục mãi
传奇	 傳奇	 truyền kỳ	 truyền kỳ/truyền thuyết/truyện hư cấu/truyện tưởng tượng/Truyền kỳ/huyền thoại/truyện anh hùng hiệp sĩ
神经	 神經	 thần kinh	 thần kinh
护照	 護照	 hộ chiếu	 hộ chiếu/giấy thông hành
岗位	 崗位	 cương vị	 cương vị/vị trí công tác/chức vụ
地道	 地道	 địa đạo	 nói/địa đạo/đường hầm/chính hiệu/chính gốc/thật thuần túy/chính cống/đường ngầm/chân chính/chính cống tốt/đủ tiêu chuẩn
气质	 氣質	 khí chất	 khí chất/tính tình/phong cách/phong độ
真理	 真理	 chân lý	 chân lý
运动员	 運動員	 vận động viên	 vận động viên
外汇	 外匯	 ngoại hối	 ngoại hối/trao đổi/ngoại tệ
回报	 回報	 hồi báo	 hồi báo/báo cáo/báo cáo với/báo đáp/báo ơn/đền ơn/báo thù/trả thù/phục thù/báo phục
物理	 物理	 vật lí/vật lý	 vật lý/lý lẽ/cái lý của sự vật/vật lí học
邮局	 郵局	 bưu cục	 bưu cục/bưu điện
婚礼	 婚禮	 hôn lễ	 hôn lễ/lễ cưới/lễ thành hôn/lễ kết hôn/đám cưới
民工	 民工	 dân công	 dân công
悲剧	 悲劇	 bi kịch	 bi kịch/cảnh ngộ bất hạnh
流氓	 流氓	 lưu manh	 lưu manh/du côn/người sống lang thang/thủ đoạn lưu manh/trò lưu manh
配置	 配置	 phối trí	 phối trí/phân phối/bố trí/sắp xếp
化学	 化學	 hóa học	 hóa học/xenluylôit/nhựa/hoá học/xen-lu-lô-ít
万一	 萬一	 vạn nhất	 vạn nhất/một phần vạn/ngộ nhỡ/nhỡ ra
滋味	 滋味	 tư vị	 tư vị/mùi vị/tiếp thụ/cảm thụ/mùi
非洲	 非洲	 phi châu	 Phi Châu/Châu Phi
局面	 局面	 cục diện	 cục diện/quy mô/kích thước/phạm vi
密切	 密切	 mật thiết	 chặt chẽ/mật thiết/làm cho gắn bó/làm cho gần gũi/cặn kẽ/tỉ mỉ/thấu đáo
京剧	 京劇	 kinh kịch	 kinh kịch
应付	 應付	 ứng phó	 ứng phó/đối phó/qua loa/có tính chất đối phó/tạm/tàm tạm
心思	 心思	 tâm tư	 tâm tư/ý nghĩ/suy nghĩ/trí nhớ/ý muốn/lòng dạ
转向	 轉向	 chuyển hướng	 chuyển hướng/thay đổi phương hướng/thay đổi lập trường/mất phương hướng/lạc hướng
正义	 正義	 chính nghĩa	 chính nghĩa/công chính/ý nghĩa chính xác/ý nghĩa đúng đắn
感冒	 感冒	 cảm mạo	 cảm mạo/cảm cúm/bị cảm/bị cúm/quan tâm/khoái/thích
师生	 師生	 sư sinh	 sư sinh/giáo viên và học sinh/thầy trò
老家	 老家	 lão gia	 lão gia/quê nhà/nguyên quán/quê quán/quê
人和	 人和	 nhân hòa	 nhân hòa/sự đoàn kết của nhân dân/nhân hoà
情报	 情報	 tình báo	 tình báo/thông tin/tin tức
不良	 不良	 bất lương	 bất lương/không tốt/xấu/kém/rối loạn/có hại/không có hiệu quả
人性	 人性	 nhân tính	 nhân tính/tính người
升级	 升級	 thăng cấp	 thăng cấp/lên cấp/leo thang
老爷	 老爺	 lão gia	 lão gia/quan lớn/quan to/nhân vật quan trọng/ông chủ/ông ngoại/cũ kỹ
否认	 否認	 phủ nhận	 phủ nhận/không thừa nhận/bác bỏ
名词	 名詞	 danh từ	 danh từ/thuật ngữ/từ chỉ khái niệm
蝴蝶	 蝴蝶	 hồ điệp	 con bướm/hồ điệp/bướm/bươm bướm
装备	 裝備	 trang bị	 trang bị/đồ trang bị
神话	 神話	 thần thoại	 thần thoại/chuyện hoang đường
布置	 布置	 bố trí	 bố trí/sắp xếp/xếp đặt/bày biện/bài trí/trang trí/sắp đặt/thu xếp/tổ chức
期望	 期望	 kì vọng/kỳ vọng	 kỳ vọng/chờ đợi/mong đợi
指标	 指標	 chỉ tiêu	 chỉ tiêu/mức
财务	 財務	 tài vụ	 tài vụ
结局	 結局	 kết cục	 kết cục/kết quả/rốt cuộc
笔记	 筆記	 bút ký	 bút ký/ghi chép/bài ghi chép
纯粹	 純粹	 thuần túy	 thuần túy/thuần chất/tinh khiết/ròng/nguyên chất/đơn thuần/thuần tuý/duy nhất/đơn độc
古典	 古典	 cổ điển	 cổ điển/điển cố/điển tích
保安	 保安	 bảo an	 bảo an/an ninh/bảo vệ trị an/bảo hộ/bảo hộ lao động/giữ an toàn lao động
经费	 經費	 kinh phí	 kinh phí/tiền chi tiêu/tiền phí tổn
协会	 協會	 hiệp hội	 hiệp hội/hội liên hiệp
宪法	 憲法	 hiến pháp	 hiến pháp
信号	 信號	 tín hiệu	 tín hiệu/sóng điện/dòng điện
运气	 運氣	 vận khí	 vận khí/vận khí công/vận mệnh/vận số/số đỏ/vận may
主流	 主流	 chủ lưu	 chủ lưu/dòng chính/chủ yếu/xu hướng chính/bản chất/trào lưu chủ yếu
苏州	 蘇州	 tô châu	 Tô Châu
飞行	 飛行	 phi hành	 phi hành/bay/phi/bay trên không
佛教	 佛教	 phật giáo	 phật giáo/Phật giáo/vậy
原始	 原始	 nguyên thủy	 nguyên thủy/đầu tiên/ban sơ/ban đầu/nguyên thuỷ/nguyên sơ
格式	 格式	 cách thức	 cách thức/quy cách
进攻	 進攻	 tiến công	 tiến công/tiến công quân thù/tấn công/công kích
夸张	 誇張	 khoa trương	 khoa trương/khuếch trương/cường điệu hoá/nhấn mạnh
倾向	 傾向	 khuynh hướng	 khuynh hướng/nghiêng về/hướng về/thiên về/xu thế
迎接	 迎接	 nghênh tiếp	 nghênh đón/nghênh tiếp/đón chào/đón tiếp/chào đón/đón nhận/đón
姿势	 姿勢	 tư thế	 tư thế/dáng vẻ/dáng dấp/điệu bộ
超越	 超越	 siêu việt	 siêu việt/vượt qua/hơn hẳn/vượt quá/khắc phục
大都	 大都	 đại đô	 đại đô/phần lớn/đại bộ phận/đa số
奋斗	 奮鬥	 phấn đấu	 phấn đấu/cố gắng
造型	 造型	 tạo hình	 tạo hình/tạo dáng/tạo khuôn/khuôn mẫu
大脑	 大腦	 đại não	 đại não
帝国	 帝國	 đế quốc	 đế quốc
同胞	 同胞	 đồng bào	 đồng bào/anh chị em ruột/ruột thịt
想像	 想像	 tưởng tượng	 tưởng tượng
疑问	 疑問	 nghi vấn	 nghi vấn/thắc mắc/nghi ngờ
光明	 光明	 quang minh	 quang minh/ánh sáng/ánh sáng mặt trời/sáng/sáng ngời/sáng rực/sáng choang/sáng chói/sáng sủa/tươi sáng/trong sáng/ngay thẳng
主体	 主體	 chủ thể	 chủ thể/bộ phận chính/chủ chốt
悲伤	 悲傷	 bi thương	 bi thương/khổ đau/đau khổ/thương cảm/buồn phiền/âu sầu
代理	 代理	 đại lí/đại lý	 đại lý/quyền/thay mặt/đại diện/liệu trị thay kẻ khác
分数	 分數	 phân số	 điểm/điểm số/phân số
悲哀	 悲哀	 bi ai	 bi ai/xót xa/đau xót trong lòng/thương tâm/buồn đau
辉煌	 輝煌	 huy hoàng	 huy hoàng/xán lạn/rực rỡ
否定	 否定	 phủ định	 phủ định/không nhận/chối bỏ/phủ nhận/từ bỏ/phản diện/mặt trái
荷兰	 荷蘭	 hà lan	 Hà Lan/Hoà Lan/Netherlands
职务	 職務	 chức vụ	 chức vụ
生动	 生動	 sinh động	 sinh động/sống động
选手	 選手	 tuyển thủ	 tuyển thủ
导师	 導師	 đạo sư	 đạo sư/người hướng dẫn/thầy/bậc thầy
四大	 四大	 tứ đại	 tứ đại
认定	 認定	 nhận định	 nhận định/cho rằng/cho là
本质	 本質	 bản chất	 bản chất
故乡	 故鄉	 cố hương	 cố hương/quê hương/quê nhà
正当	 正當	 chính đáng	 đang lúc/giữa lúc/trong lúc/thỏa đáng/chính đáng/hợp lý đoan trang/đứng đắn
尊敬	 尊敬	 tôn kính	 tôn kính/kính trọng/đáng kính trọng/được kính trọng
请教	 請教	 thỉnh giáo	 thỉnh giáo/xin chỉ bảo
大连	 大連	 đại liên	 Đại Liên
回想	 回想	 hồi tưởng	 hồi tưởng/nhớ/nhớ lại/nghĩ lại
施工	 施工	 thi công	 thi công
有用	 有用	 hữu dụng	 hữu dụng/có ích
美人	 美人	 mỹ nhân	 mỹ nhân/người đẹp/con người đẹp
散步	 散步	 tản bộ	 tản bộ/đi bách bộ/đi dạo/dạo mát
动词	 動詞	 động từ	 động từ
丫头	 丫頭	 nha đầu	 nha đầu/bé gái/con gái/a hoàn/con sen
定义	 定義	 định nghĩa	 định nghĩa
气候	 氣候	 khí hậu	 khí hậu/hoàn cảnh/môi trường/kết quả/thành tựu
动态	 動態	 động thái	 động thái/tình hình/chiều hướng/thần thái/sắc thái/động/biến động
正面	 正面	 chính diện	 ngay mặt/chính diện/mặt trước/mặt chính/mặt ngoài/mặt phải/mặt tốt/mặt tích cực/bên ngoài/bề ngoài/trực tiếp
工程师	 工程師	 công trình sư	 công trình sư/kỹ sư/người thiết kế
辅导	 輔導	 phụ đạo	 phụ đạo/chỉ đạo/hướng dẫn
崇拜	 崇拜	 sùng bái	 sùng bái/tôn sùng/tôn thờ/tôn kính/kính trọng/thờ phụng
流动	 流動	 lưu động	 lưu động/chảy/di động/không cố định
袭击	 襲擊	 tập kích	 tập kích/đột kích/đánh úp/công kích bất ngờ
福建	 福建	 phúc kiến	 Phúc Kiến
完毕	 完畢	 hoàn tất	 xong/hoàn tất/làm xong/xong xuôi
长江	 長江	 trường giang	 Trường Giang/sông Trường Giang
新年	 新年	 tân niên	 tân niên/năm mới/tết Dương lịch
无力	 無力	 vô lực	 vô lực/không có sức/không có lực lượng/mệt mỏi
神奇	 神奇	 thần kì/thần kỳ	 thần kỳ/vô cùng kì diệu/kỳ lạ/thần bí
追究	 追究	 truy cứu	 truy cứu/truy vấn/truy xét
队长	 隊長	 đội trưởng	 đội trưởng
指数	 指數	 chỉ số	 luỹ thừa/số mũ/chỉ số
总体	 總體	 tổng thể	 tổng thể/toàn bộ/toàn diện
消除	 消除	 tiêu trừ	 tiêu trừ/trừ khử/loại trừ/loại bỏ
大姐	 大姐	 đại tỷ	 đại tỷ/chị cả/chị hai/chị lớn/chị/đại tả/cô ả
联络	 聯絡	 liên lạc	 liên lạc/liên hệ
罗马	 羅馬	 la mã	 La Mã/Rô-ma/Rome
电信	 電信	 điện tín	 điện tín/điện báo
试验	 試驗	 thí nghiệm	 thí nghiệm/thực nghiệm/thử nghiệm/thi cử
经济学	 經濟學	 kinh tế học	 kinh tế học/kinh tế chính trị học
意志	 意志	 ý chí	 ý chí
